Name,Price (INR),Rating,Brand,Specs,Display,Battery
Google Model 34,72409,4.8,Google,12GB RAM 48MP Camera,5.8 inch AMOLED,4500 mAh
Vivo Model 35,122236,4.3,Vivo,12GB RAM 64MP Camera,5.8 inch OLED,4500 mAh
Xiaomi Model 36,79094,4.2,Xiaomi,16GB RAM 200MP Camera,6.3 inch AMOLED,6000 mAh
Vivo Model 37,127190,4.1,Vivo,12GB RAM 200MP Camera,6.6 inch LCD,5000 mAh
Motorola Model 38,165397,4.5,Motorola,6GB RAM 48MP Camera,5.8 inch OLED,4000 mAh
Samsung Model 39,20818,4.8,Samsung,4GB RAM 64MP Camera,5.8 inch OLED,4500 mAh
OnePlus Model 40,52420,4.1,OnePlus,4GB RAM 200MP Camera,6.4 inch AMOLED,5000 mAh
OnePlus Model 41,86408,4.2,OnePlus,12GB RAM 48MP Camera,6.5 inch OLED,5000 mAh
Nokia Model 42,104232,4.2,Nokia,6GB RAM 64MP Camera,5.9 inch AMOLED,4000 mAh
Google Model 43,140900,4.7,Google,8GB RAM 48MP Camera,6.0 inch LCD,5000 mAh
Apple Model 44,30638,4.5,Apple,4GB RAM 48MP Camera,5.9 inch AMOLED,5000 mAh
Apple Model 45,53837,4.9,Apple,6GB RAM 64MP Camera,5.6 inch LCD,4000 mAh
Apple Model 46,65618,4.8,Apple,16GB RAM 50MP Camera,6.0 inch OLED,5000 mAh
Nokia Model 47,70726,4.2,Nokia,12GB RAM 200MP Camera,5.8 inch LCD,5000 mAh
Vivo Model 48,33891,4.4,Vivo,4GB RAM 108MP Camera,6.5 inch LCD,4500 mAh
Nokia Model 49,184434,4.1,Nokia,6GB RAM 200MP Camera,6.0 inch OLED,4000 mAh
Xiaomi Model 50,151229,4.9,Xiaomi,12GB RAM 108MP Camera,6.0 inch AMOLED,4500 mAh
Samsung Model 51,61575,4.2,Samsung,4GB RAM 48MP Camera,6.9 inch OLED,5000 mAh
Apple Model 52,171509,4.3,Apple,16GB RAM 48MP Camera,5.7 inch LCD,5000 mAh
Google Model 53,58052,4.7,Google,8GB RAM 48MP Camera,6.7 inch OLED,4500 mAh
OnePlus Model 54,151906,4.8,OnePlus,16GB RAM 50MP Camera,6.1 inch AMOLED,4500 mAh
Vivo Model 55,105959,4.8,Vivo,12GB RAM 108MP Camera,6.5 inch OLED,5000 mAh
Google Model 56,86526,4.7,Google,6GB RAM 108MP Camera,5.9 inch LCD,4000 mAh
Nokia Model 57,169398,4.0,Nokia,8GB RAM 108MP Camera,5.6 inch OLED,4500 mAh
Vivo Model 58,77451,4.2,Vivo,12GB RAM 108MP Camera,5.8 inch AMOLED,5000 mAh
Oppo Model 59,160995,4.0,Oppo,12GB RAM 50MP Camera,5.6 inch LCD,4500 mAh
Motorola Model 60,25081,4.2,Motorola,8GB RAM 64MP Camera,6.1 inch OLED,4500 mAh
Oppo Model 61,174685,4.7,Oppo,8GB RAM 200MP Camera,6.3 inch LCD,4500 mAh
Samsung Model 62,156611,4.4,Samsung,16GB RAM 48MP Camera,6.4 inch OLED,5000 mAh
Google Model 63,103104,4.5,Google,8GB RAM 108MP Camera,5.8 inch AMOLED,4000 mAh
Nokia Model 64,29961,4.2,Nokia,8GB RAM 50MP Camera,6.8 inch AMOLED,4500 mAh
Oppo Model 65,67346,4.7,Oppo,16GB RAM 64MP Camera,6.5 inch AMOLED,5000 mAh
Oppo Model 66,72583,4.3,Oppo,6GB RAM 200MP Camera,6.6 inch AMOLED,4000 mAh
OnePlus Model 67,111288,4.5,OnePlus,12GB RAM 108MP Camera,6.9 inch AMOLED,4000 mAh
Vivo Model 68,136480,4.3,Vivo,12GB RAM 50MP Camera,5.9 inch AMOLED,5000 mAh
Apple Model 69,151996,4.4,Apple,16GB RAM 200MP Camera,6.4 inch OLED,4000 mAh
Motorola Model 70,158226,4.7,Motorola,4GB RAM 108MP Camera,5.8 inch AMOLED,6000 mAh
OnePlus Model 71,94486,4.1,OnePlus,16GB RAM 50MP Camera,5.5 inch OLED,4500 mAh
Realme Model 72,181022,4.0,Realme,8GB RAM 48MP Camera,6.0 inch LCD,6000 mAh
Samsung Model 73,10201,4.8,Samsung,6GB RAM 64MP Camera,6.5 inch OLED,4500 mAh
OnePlus Model 74,57156,4.7,OnePlus,4GB RAM 48MP Camera,6.4 inch AMOLED,6000 mAh
OnePlus Model 75,56352,4.2,OnePlus,4GB RAM 200MP Camera,6.9 inch AMOLED,6000 mAh
Xiaomi Model 76,45165,4.4,Xiaomi,6GB RAM 50MP Camera,6.2 inch LCD,4000 mAh
OnePlus Model 77,128669,4.8,OnePlus,12GB RAM 48MP Camera,6.3 inch OLED,4500 mAh
Oppo Model 78,134371,4.2,Oppo,6GB RAM 64MP Camera,6.8 inch AMOLED,4500 mAh
Google Model 79,142065,4.8,Google,8GB RAM 108MP Camera,5.9 inch OLED,4500 mAh
Vivo Model 80,172092,4.3,Vivo,4GB RAM 48MP Camera,6.4 inch OLED,5000 mAh
Apple Model 81,166758,4.8,Apple,12GB RAM 48MP Camera,5.8 inch AMOLED,4500 mAh
Oppo Model 82,117833,4.7,Oppo,6GB RAM 64MP Camera,5.6 inch AMOLED,6000 mAh
Nokia Model 83,64829,4.8,Nokia,8GB RAM 108MP Camera,6.0 inch LCD,4000 mAh
Realme Model 84,42330,4.2,Realme,6GB RAM 200MP Camera,5.7 inch LCD,5000 mAh
Nokia Model 85,76455,4.7,Nokia,4GB RAM 48MP Camera,6.6 inch LCD,5000 mAh
Realme Model 86,161972,4.8,Realme,8GB RAM 50MP Camera,6.0 inch AMOLED,4000 mAh
Realme Model 87,170857,4.3,Realme,12GB RAM 50MP Camera,6.9 inch OLED,5000 mAh
Motorola Model 88,95761,4.6,Motorola,12GB RAM 50MP Camera,6.3 inch LCD,4500 mAh
OnePlus Model 89,189957,4.1,OnePlus,16GB RAM 50MP Camera,6.2 inch OLED,6000 mAh
Nokia Model 90,127467,4.5,Nokia,16GB RAM 200MP Camera,5.5 inch AMOLED,6000 mAh
Xiaomi Model 91,163225,4.3,Xiaomi,4GB RAM 64MP Camera,6.9 inch AMOLED,4500 mAh
Nokia Model 92,191756,4.2,Nokia,6GB RAM 108MP Camera,5.8 inch LCD,4000 mAh
OnePlus Model 93,65139,4.3,OnePlus,6GB RAM 200MP Camera,6.1 inch LCD,6000 mAh
Vivo Model 94,113717,4.9,Vivo,16GB RAM 50MP Camera,6.9 inch OLED,4000 mAh
Nokia Model 95,23489,4.6,Nokia,6GB RAM 200MP Camera,5.7 inch LCD,4000 mAh
Xiaomi Model 96,169598,4.2,Xiaomi,16GB RAM 200MP Camera,5.7 inch OLED,5000 mAh
Apple Model 97,178207,4.3,Apple,8GB RAM 48MP Camera,6.9 inch OLED,5000 mAh
Vivo Model 98,87258,4.5,Vivo,6GB RAM 200MP Camera,6.3 inch LCD,4000 mAh
Apple Model 99,79077,4.8,Apple,8GB RAM 48MP Camera,5.9 inch OLED,4000 mAh
Google Model 100,93009,4.5,Google,8GB RAM 200MP Camera,6.6 inch LCD,6000 mAh
